0.18799 0.53000
0.63852 1.02359
0.97357 1.29967
1.29139 1.49418
1.73611 1.72634
2.24399 1.92713
2.75174 2.10281
3.25945 2.27222
3.76709 2.42909
4.27469 2.57968
4.78230 2.73026
5.22642 2.85575
5.86071 3.00634
8.01697 3.45811
8.58778 3.58360
9.09514 3.69026
9.60246 3.79066
10.10985 3.90360
10.61718 4.00399
11.12446 4.09811
11.63172 4.18595
12.13897 4.27380
12.64626 4.36791
13.15347 4.44948
13.66065 4.52478
14.16784 4.60007
14.67516 4.70046
15.18241 4.78831
15.68966 4.87615
16.19698 4.97654
16.70431 5.07693
17.21145 5.14595
17.71874 5.24007
18.22599 5.32791
18.73331 5.42831
19.24057 5.51615
19.74775 5.59144
20.25504 5.68556
20.76232 5.77968
21.26954 5.86125
21.77679 5.94909
22.28401 6.03066
22.79133 6.13105
23.29862 6.22517
23.80583 6.30674
24.31302 6.38203
24.82030 6.47615
25.32748 6.55145
25.83470 6.63301
26.34188 6.70831
26.84914 6.79615
27.35628 6.86517
27.86343 6.93419
28.37057 7.00321
28.87772 7.07223
29.38487 7.14125
29.89208 7.22282
30.39933 7.31066
30.90659 7.39851
31.41373 7.46753
31.92095 7.54909
32.42810 7.61811
32.93538 7.71223
33.44267 7.80635
33.94982 7.87537
34.45707 7.96321
34.96432 8.05106
35.47157 8.13890
35.97882 8.22674
36.48611 8.32086
36.99343 8.42125
37.50076 8.52164
38.00804 8.61576
38.51537 8.71615
39.02262 8.80400
39.52984 8.88557
39.91022 8.94204
