0.955612 7.35484
1.03296 7.93548
1.11657 8.45161
1.17604 9.03226
1.30465 9.29032
1.37413 9.61290
1.64779 10.0000
1.78117 10.4516
2.02788 10.1935
2.13588 10.4516
2.49565 10.5806
2.91601 10.5806
3.23489 10.3226
3.68296 10.1290
3.98107 9.74194
4.30331 9.41935
4.89938 9.29032
5.29595 8.96774
5.72462 8.64516
6.18799 8.38710
6.86467 8.06452
7.81552 7.67742
8.23176 7.41935
9.61831 7.03226
10.6701 6.83871
11.5338 6.58065
12.4674 6.32258
14.1943 5.93548
16.5851 5.54839
19.3787 5.22581
22.0629 4.90323
26.4567 4.58065
31.7255 4.25806
39.0435 3.93548
48.0496 3.54839
57.6187 3.29032
67.3239 2.96774
78.6638 2.70968
96.8089 2.45161
119.140 2.32258
154.430 2.12903
210.835 1.93548
295.408 1.67742
363.549 1.48387
435.950 1.29032
550.611 1.29032
